source,type,target,type2,weight
eat,keyword,plate,keyword,3
annual,keyword,waste,keyword,3
consumption,keyword,excessive,keyword,2
eat,keyword,hotdog,keyword,3
reject,keyword,fruit,keyword,2
accept,keyword,fruit,keyword,2
excessive,keyword,waste,keyword,2
consumption,keyword,waste,keyword,3
life,keyword,waste,keyword,4
eat,keyword,waste,keyword,3
food,keyword,supply,keyword,2
food,keyword,waste,keyword,11
food,keyword,attention,keyword,2
consumption,keyword,bad,keyword,2
eat,keyword,leftovers,keyword,2
food,keyword,bad,keyword,2
food,keyword,world,keyword,2
human,keyword,waste,keyword,3
excessive,keyword,bad,keyword,2
impact,keyword,aware,keyword,2
attention,keyword,supply,keyword,2
impact,keyword,planet,keyword,2
postharvest,keyword,waste,keyword,2
consumption,keyword,annual,keyword,3
consumption,keyword,human,keyword,3
eat,keyword,annual,keyword,3
race,keyword,hotdog,keyword,3
race,keyword,win,keyword,3
food,keyword,excessive,keyword,4
food,keyword,consumption,keyword,2
win,keyword,hotdog,keyword,3
waste,keyword,abundance,keyword,2
food,keyword,life,keyword,4
annual,keyword,human,keyword,3
accept,keyword,reject,keyword,5
