User,Screen_Name,Date,Tweet,Retweet,Favorite
441171035,amacedo4,2015-07-23 20:35:46,RT @loreee____: ``` 97% ``` food waste generated ends ``` ``` ``` landfill.  #FEWERwaste,2,0
441171035,amacedo4,2015-07-23 20:34:56,People ``` ``` ``` start ``` grateful ``` ``` ``` throw ``` ``` food. #FEWERwaste,0,1
441171035,amacedo4,2015-07-23 20:34:08,RT @loreee____: ``` ``` ``` hotdog win ``` race... bc 40% ``` ``` competition ``` thrown ```. #FEWERwaste #juice @BioMASSlab,3,0
70758531,BioMASSlab,2015-07-23 20:27:03,"RT @ay__arnold: ``` ``` rad dude, ``` ``` waste ``` food. #FEWERwaste @BioMASSlab",1,0
3378781912,ay__arnold,2015-07-23 20:25:30,"``` ``` rad dude, ``` ``` waste ``` food. #FEWERwaste @BioMASSlab",1,0
70758531,BioMASSlab,2015-07-23 20:25:16,RT @jen_jen67: Feed ``` 9 billion coming... @BioMASSlab  #2050 #FEWERwaste,1,0
70758531,BioMASSlab,2015-07-23 20:25:08,RT @loreee____: ``` ``` ``` hotdog win ``` race... bc 40% ``` ``` competition ``` thrown ```. #FEWERwaste #juice @BioMASSlab,3,0
2272691252,jen_jen67,2015-07-23 20:24:59,Feed ``` 9 billion coming... @BioMASSlab  #2050 #FEWERwaste,1,0
70758531,BioMASSlab,2015-07-23 20:24:06,RT @ay__arnold: Water thooose?!?!?! #FEWERwaste @BioMASSlab http://```.```/OAnyQJSwzi,1,0
1418503470,loreee____,2015-07-23 20:24:02,``` ``` ``` hotdog win ``` race... bc 40% ``` ``` competition ``` thrown ```. #FEWERwaste #juice @BioMASSlab,3,2
70758531,BioMASSlab,2015-07-23 20:23:45,"RT @loreee____: Food ``` life, dont waste ```. #FEWERwaste",1,0
70758531,BioMASSlab,2015-07-23 20:23:40,RT @loreee____: ``` eat ```. #FEWERwaste,1,0
70758531,BioMASSlab,2015-07-23 20:23:32,"RT @jen_jen67: ``` ``` perfect, ``` ``` fruit accept ``` reject! #FEWERwaste",2,0
3378781912,ay__arnold,2015-07-23 20:23:23,Water thooose?!?!?! #FEWERwaste @BioMASSlab http://```.```/OAnyQJSwzi,1,0
70758531,BioMASSlab,2015-07-23 20:19:36,RT @AidanLiao: @BioMASSlab HAPPY FRYDAY #FEWERwaste,1,0
3198983039,AidanLiao,2015-07-23 20:18:41,@BioMASSlab HAPPY FRYDAY #FEWERwaste,1,0
70758531,BioMASSlab,2015-07-23 20:18:21,RT @loreee____: ``` 60% ``` food produced ``` ``` consumed  #FEWERwaste,2,0
70758531,BioMASSlab,2015-07-23 20:17:49,RT @loreee____: ``` 97% ``` food waste generated ends ``` ``` ``` landfill.  #FEWERwaste,2,0
70758531,BioMASSlab,2015-07-23 20:17:44,"RT @kmoneygotpesos: ""accept ``` reject"" #FEWERwaste",2,0
70758531,BioMASSlab,2015-07-23 20:17:38,RT @kmoneygotpesos: ``` ``` ``` ``` change ``` ``` ``` ``` ``` ``` world #FEWERwaste,2,0
2272691252,jen_jen67,2015-07-23 20:16:27,"RT @loreee____: ``` ``` plate ```, eat ```. ``` waste ```.  #FEWERwaste @BioMASSlab",3,0
2272691252,jen_jen67,2015-07-23 20:16:03,RT @kmoneygotpesos: ``` ``` ``` ``` change ``` ``` ``` ``` ``` ``` world #FEWERwaste,2,0
70758531,BioMASSlab,2015-07-23 20:15:06,"RT @ay__arnold: ``` ``` ``` taste, ``` ``` ``` abundance ``` waste #FEWERwaste @BioMASSlab",1,0
