Word,Frequency
imperfectpicks,1
//t.co/aqfy0mjf7t,1
chain,1
//t.co/gx9bwq79sf,1
//t.co/gqwfjhcz5u,1
global,2
worms,1
drop-off,1
infographic,9
stops,1
controversial,1
go,2
//t.co/wfccjvfprd,1
hate,1
issues,2
//t.co/hmjonlymer,1
feeding,1
yummy,1
plasticbags,1
e-mail,1
tweet,1
hunger,3
//t.co/0hzitgvbwh,1
//t.co/lafzql2ojh,1
environment,1
culinary,1
compost,5
program,1
//t.co/l57lepj7jh,1
recycle,2
lawmakers,1
worth,2
resources,1
//t.co/tp3pi3j2og,1
brown,1
outside,1
//t.co/j9qx2e3meg,1
focus,1
//t.co/iq8sgxsdml,1
every,1
iowaenviro,1
//t.co/mlso9pabjz,1
cook,1
trouble,1
continued,1
vast,1
cool,8
miniwiznews,1
impressive,1
ewaste,1
solution,3
try,1
//t.co/keckugacix,1
enhance,1
solutions,4
prevent,2
says,1
diverting,1
bulletinstuden,1
elephantjournal,1
//t.co/5lmgk6wt1f,1
video,3
follow,2
//t.co/1r7qmzzndy,1
dumpsterdiver,2
business,1
showcase,1
//t.co/igutomqshb,1
shares,1
debate,1
//t.co/u7x2m6mhqm,1
abu,1
worldnews,1
new,10
tips,2
officially,1
method,3
insecure,1
foodwastefriday,1
friday,2
uglyfruit,1
//t.co/hxim5x5qaa,1
learn,1
commercial,1
ranger,1
shopyourfridgefirst,1
china,2
chefsfeed,1
address,2
//t.co/vclfi3v99r,1
[,5
change,2
dry,1
wrap_uk,1
great,3
kids,1
sustainablefoodbusiness,1
bbcworld,1
healthy,2
involved,1
study,1
30,1
//t.co/ryrsxe1kxl,1
survey,1
//t.co/gprq85nfzu,1
pick,1
action,2
portions,1
residents,5
naturacapital,1
one-stop-shop,1
ajenews,1
fantastic,1
via,10
useful,1
magically,1
foodsustainability,1
//t.co/0q1sdbve9j,1
//t.co/m4ohglj9mu,1
//t.co/dcnuoexulv,1
sign,1
young,1
county,1
//t.co/guppu93w04,1
cuesa,5
festivals,1
florence,1
morrisons,2
use,5
eye,1
working,1
veg,4
sake,1
//t.co/saz499lsfo,1
dude,2
france,1
//t.co/ckksscxh3s,1
6,2
thru,1
awesome,1
today,2
british,1
