User,Screen_Name,Date,Tweet,Retweet,Favorite
20159309,AnnieKWhite,2015-07-22 23:44:30,RT @ConserveNow: We have tips and tools to help you cut #foodwaste http://t.co/XQzSrQPEqn,1,0
3121617099,NatureSeal,2015-07-22 23:40:41,@aggiesforfresh @Food52 great tips for reducing #foodwaste! NatureSeal can help too! #followback for more info! #savetheproduce,0,1
3068537205,SMARTRecycle_US,2015-07-22 23:33:51,RT @GreenCircleNC: What's as cool as turning used grease into #biofuel? #FoodWaste into soil for #farmers! http://t.co/nwGp17YhKG @DoYouCom…,4,0
45528349,Jihyun_Ryou,2015-07-22 23:32:23,Do you know the safe temperature to avoid chilling injury on your vegetables? http://t.co/n8OZislDmB #foodwaste http://t.co/iOoXYPww1D,1,1
20602544,raleys,2015-07-22 23:31:57,@MatthewsB we're also piloting a program to decrease #foodwaste in select stores with @Imperfectfruit. Check it out! http://t.co/WsEHpboYW3,1,4
3068537205,SMARTRecycle_US,2015-07-22 23:31:40,"RT @CECHR_UoD: You Probably Throw Away More Food Than You Think
http://t.co/3i9wlj9Lwi #foodwaste #sustainability http://t.co/9zO2GYnJZh",46,0
3068537205,SMARTRecycle_US,2015-07-22 23:25:40,"@WastedFood: Wow, #FoodWaste tips in both @TIME &amp; @USATODAY?!? #RisingTide #Change
http://t.co/xgiclCS2GP
https://t.co/7rWqgjgtZx",0,0
3236104514,KSREBookstore,2015-07-22 23:23:02,How long are those chicken leftovers from last night really good for? #foodwaste #foodsafety http://t.co/bhGYFRi8V0 http://t.co/EtZMDbehoN,0,0
264773506,galeriGSSI,2015-07-22 23:17:15,RT @FAOKnowledge: By transforming #foodwaste into compost we can give precious nutrients back 2 soil http://t.co/Nnm8tYhzV0 #IYS2015 http:/…,68,0
15839470,MaggieJoos,2015-07-22 23:15:40,"@iamjohnoliver nails it w/piece on #foodwaste. Ironically, I ate moldy raspberries while watching. #keepittighttatum http://t.co/WVkrJfRja8",0,0
23075340,sdtgemini,2015-07-22 23:14:36,@iamjohnoliver is so right about #foodwaste! Let's #KEEPITTIGHTTATUM,0,0
850215673,dilnaazb,2015-07-22 23:08:26,RT @OpenEdUofG: How to solve the #FoodWaste problem: http://t.co/4s7Vk6itvn via @RuralLiv @MacleansMag http://t.co/45zZu4mm67,5,0
235723741,SylviaFarkas,2015-07-22 23:03:40,RT @terrawellington: Buying too much food and not eating leftovers are 2 of the primary causes of #FoodWaste → http://t.co/IefSabqDQ3 #thin…,11,0
30028738,IEShineOn,2015-07-22 23:02:44,@CBWCD How to use #foodwaste effectively for #gardening! Learn about #composting #workshops here. http://t.co/AcpMAznDkw,0,0
